item_name,item_price
6 Pack Soft Drink,12.98
Barbacoa Bowl,11.49
Barbacoa Bowl,11.48
Barbacoa Bowl,11.75
Barbacoa Burrito,11.08
Barbacoa Burrito,11.48
Barbacoa Burrito,11.75
Barbacoa Crispy Tacos,11.48
Barbacoa Crispy Tacos,11.75
Barbacoa Crispy Tacos,18.5
Barbacoa Salad Bowl,11.89
Barbacoa Soft Tacos,11.75
Barbacoa Soft Tacos,11.48
Bottled Water,15.0
Bottled Water,10.5
Bowl,22.2
Carnitas Bowl,11.75
Carnitas Bowl,35.25
Carnitas Bowl,11.48
Carnitas Bowl,11.08
Carnitas Bowl,23.5
Carnitas Burrito,18.5
Carnitas Burrito,11.08
Carnitas Burrito,11.48
Carnitas Burrito,11.75
Carnitas Crispy Tacos,17.98
Carnitas Crispy Tacos,11.75
Carnitas Salad Bowl,11.89
Carnitas Soft Tacos,11.75
Chicken Bowl,16.98
Chicken Bowl,21.96
Chicken Bowl,26.25
Chicken Bowl,22.5
Chicken Bowl,10.58
Chicken Bowl,11.25
Chicken Bowl,17.5
Chicken Bowl,10.98
Chicken Bowl,32.94
Chicken Burrito,35.0
Chicken Burrito,10.58
Chicken Burrito,16.98
Chicken Burrito,21.96
Chicken Burrito,16.38
Chicken Burrito,26.25
Chicken Burrito,10.98
Chicken Burrito,17.5
Chicken Burrito,11.25
Chicken Crispy Tacos,11.25
Chicken Crispy Tacos,16.98
Chicken Crispy Tacos,17.5
Chicken Crispy Tacos,10.98
Chicken Salad,10.98
Chicken Salad Bowl,17.5
Chicken Salad Bowl,11.25
Chicken Salad Bowl,22.5
Chicken Soft Tacos,10.98
Chicken Soft Tacos,11.25
Chicken Soft Tacos,21.96
Chicken Soft Tacos,17.5
Chicken Soft Tacos,16.98
Chips and Fresh Tomato Salsa,44.25
Chips and Fresh Tomato Salsa,11.8
Chips and Guacamole,13.35
Chips and Guacamole,17.8
Side of Chips,13.52
Steak Bowl,18.5
Steak Bowl,23.5
Steak Bowl,26.07
Steak Bowl,11.08
Steak Bowl,11.48
Steak Bowl,17.98
Steak Bowl,11.75
Steak Burrito,22.96
Steak Burrito,11.75
Steak Burrito,11.08
Steak Burrito,17.98
Steak Burrito,11.48
Steak Burrito,22.16
Steak Burrito,18.5
Steak Burrito,23.5
Steak Burrito,27.75
Steak Crispy Tacos,17.98
Steak Crispy Tacos,11.75
Steak Salad Bowl,11.89
Steak Salad Bowl,23.78
Steak Soft Tacos,11.48
Steak Soft Tacos,18.5
Steak Soft Tacos,11.75
Veggie Bowl,16.98
Veggie Bowl,10.98
Veggie Bowl,11.25
Veggie Burrito,11.25
Veggie Burrito,10.98
Veggie Burrito,33.75
Veggie Salad Bowl,11.25
Veggie Soft Tacos,11.25
Veggie Soft Tacos,16.98
